Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
MMS-1,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,Unknown,Elliptical,Unknown,0.0,"1,375","70,009",0.816,28.9,"1,433","1,360",,,3/13/2015,3.0,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011A,40482,"4 satellites in a tetrahedral formation - gather information about the microphysics of magnetic reconnection, energetic particle acceleration, and turbulence, processes that occur in many astrophysical plasmas",JM/8_15,2015
MMS-2,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,Unknown,Elliptical,Unknown,0.0,"1,357","70,117",0.816,29.0,"1,433","1,360",,,3/13/2015,3.0,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011B,40483,,JM/8_15,2015
MMS-3,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,Unknown,Elliptical,Unknown,0.0,"1,429","70,045",0.815,29.0,"1,433","1,360",,,3/13/2015,3.0,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011C,40484,,JM/8_15,2015
MMS-4,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,Unknown,Elliptical,Unknown,0.0,"1,317","70,157",0.8170000000000001,29.0,"1,433","1,360",,,3/13/2015,3.0,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011D,40485,,JM/8_15,2015
Mohammed VI-A,NR,Morocco,Kingdom of Morocco,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,636,638,0.000143,97.9,97,"1,110",,,11/8/2017,0.0,Thales/Alenia Space and Airbus Defense and Space,France/UK/Germany/Spain/Italy,Guiana Space Center,Vega,2017-070A,43005,Morocco's first earth observation satellite.,JMSatcat/3_18,2017
Mohammed VI-B,NR,Morocco,Kingdom of Morocco,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,601,606,0.000359,98.0,97,"1,110",,,11/21/2018,0.0,Thales/Alenia Space and Airbus Defense and Space,France/UK/Germany/Spain/Italy,Guiana Space Center,Vega,2018-095A,43717,Second earth observation satellite for Morocco.,JM/11_18,2018
Microvariability & Oscillations of Stars (MOST),Canada,Canada,Canadian Space Agency,Government,Space Science,Unknown,LEO,Sun-Synchronous,0.0,817,832,0.0010400000000000001,98.7,101.4,53,53,35,6/30/2003,1.0,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843,"Canada's space telescope, dubbed the ""Humble Telescope""; minisatellite; monitor brightness variations in stars.",www.satellitedebris.net 12/12,2003
MOVE II,Germany,Germany,Technical University of Munich,Government/Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,572,590,0.0012900000000000001,97.7,96.3,2,,,12/3/2018,0.0,Technical University of Munich,Germany,Vandenberg AFB,Falcon 9,2018-099Y,43780,Project for training engineers and students in satellite technology.,JMSatcat/3_19,2018
MOVE Iib,NR (11/19),Germany,Technical University of Munich,Government/Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,512,550,0.00275,97.5,95.2,1,,,7/5/2019,0.0,Technical University of Munich,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038N,44398,"Student built, technology development.",JMSatcat/11_19,2019
Mozhayets 4,Russia,Russia,Mozhaisky Space Engineering Academy,Government/Civil,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,669,690,0.00149,97.8,98.3,64,,,9/27/2003,0.0,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,2003-042A,27939,Training satellite; carries an amateur radio payload.,www.satellitedebris.net 12/12,2003
MP6,Lithuania,Lithuania,NanoAvionics,Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,434,514,0.00584,97.5,94,7,,,4/1/2019,0.0,NanoAvionics,Lithuania,Satish Dhawan Space Centre,PSLV,2019-018AF,44109,"Hosts two commercial payloads for SpaceWorks Orbital and Lacuna Space, two companies designing communications and tracking networks using nanosatellites as relay nodes to collect and retransmit data from devices and sensors around the world.",JMSatcat/11_19,2019
MSAT 1,Canada,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,Unknown,GEO,Unknown,-106.43,"35,763","35,809",0.000546,1.37,1436.09,"2,850","1,330","3,300",4/20/1996,12.0,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,Wireless network for North America,JM/12_08,1996
MSAT 2,USA,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,Unknown,GEO,Unknown,-101.21,"35,776","35,796",0.00023700000000000001,4.02,1436.09,"2,850","1,330","3,300",4/7/1995,10.0,Hughes Space and Communications Co. ,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America,JM/12_08,1995
Multispectral Thermal Imager (MTI),USA,USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,461,478,0.00124,97.47,94.9,587,,575,3/12/2000,3.0,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102,"Primary objective is to demonstrate advanced multispectral and thermal imaging, image processing, and associated technologies that could be used in future systems for detecting and characterizing facilities producing weapons of mass destruction.",WT,2000
MTSAT-2,Japan,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,Unknown,145.06,"35,776","35,797",0.00024900000000000004,0.01,1436.1,"2,900","1,250","2,700",2/18/2006,5.0,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H2A,2006-004A,28937,Meteorological satellite; will also relay ground weather data to the Meteorological Satellite Center; in standby mode until 2010.,JM/12_08,2006
MUOS-1,USA,USA,DoD/US Navy,Military,Communications,Unknown,GEO,Unknown,-176.96,"35,569","36,006",0.00518,3.73,1436.1,"6,804",,,2/24/2012,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2012-009A,38093,Four primary satellites and one orbiting spare will comprise the MUOS system as it is fielded over the next few years to augment and then replace the Navy's aging Ultra High Frequency spacecraft constellation. Orbital parameters estimated.,JM/6_16,2012
MUOS-2,USA,USA,DoD/US Navy,Military,Communications,Unknown,GEO,Unknown,-100.1,"35,550","36,023",0.00561,4.11,1436.1,"6,804",,,7/19/2013,12.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2013-036A,39206,Second of four.,JM/6_16,2013
MUOS-3,USA,USA,DoD/US Navy,Military,Communications,Unknown,GEO,Unknown,-15.48,"35,576","35,998",0.0050100000000000006,4.57,1436.1,"6,804","3,812",,1/21/2015,0.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2015-002A,40374,Next-generation narrowband tactical satellite communications system designed to significantly improve ground communications for U.S. forces on the move.,JM/6_16,2015
MUOS-4,USA,USA,DoD/US Navy,Military,Communications,Unknown,GEO,Unknown,74.8,"35,576","35,997",0.00499,4.8,1436.1,"6,804",,,9/2/2015,0.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2015-044A,40887,,JM/6_16,2015
MUOS-5,USA,USA,DoD/US Navy,Military,Communications,Unknown,GEO,Unknown,-104.13,"35,576","35,998",0.0050100000000000006,4.5,1436.1,"6,804",,,6/24/2016,0.0,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2016-041A,41622,"Main engine failed during initial orbit-raising. Planned for 75 E, but is located at 105 W. Slightly more inclined than normal but can function. Spare. Completes the five-satellite constellation.",Estimated,2016
USA 285,NR (3/20),USA,Air Force Research Laboratory,Military,Technology Development,Unknown,GEO,Unknown,51.0,"35,246","35,309",0.0007559999999999999,1.94,1410.17,,,,4/14/2018,0.0,Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5,2018-036E,43445,Released from USA 284. The Air Force describes Mycroft as a “fourth-generation space situational awareness experiment.” ,JMGEO/7_20,2018
NanoACE,USA,USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Development,Unknown,LEO,Sun-Synchronous,0.0,486,602,0.00839,97.6,96.6,6,,,7/14/2017,0.0,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042V,42844,Strictly for internal development testing.,JMSatcat/10_17,2017
Nanosat-1,Spain,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications,Unknown,LEO,Sun-Synchronous,0.0,654,659,0.000356,98.4,97.9,20,15,20,12/18/2004,0.0,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493,Will maintain contact with Spanish zone in Antarctica; extremely small magnetic and solar sensors.,www.satellitedebris.net 12/12,2004
Nanosat-1B,NR,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications/Technology Development,Unknown,LEO,Sun-Synchronous,0.0,583,672,0.00636,98.1,97.3,20,15,20,7/29/2009,0.0,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685,Technology demonstration and communication.,www.satellitedebris.net 12/12,2009
NARSSCUBE-1,NR (3/20),Egypt,National Authority for Remote Sensing and Space Sciences,Government,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,400,407,0.000517,51.6,92.6,1,,,11/20/2019,1.0,National Authority for Remote Sensing and Space Sciences,Egypt,International Space Station,J-SSOD Deployer,1998-067QX,44792,,JMSatcat/7_20,2019
NARSSCUBE-2,NR (3/20),Egypt,National Authority for Remote Sensing and Space Sciences,Government,Technology Development,Unknown,LEO,Non-Polar Inclined,0.0,468,483,0.0011,51.6,92.6,1,,,7/25/2019,1.0,National Authority for Remote Sensing and Space Sciences,Egypt,Cape Canaveral,Falcon 9,2019-022E,44415,,JMSatcat/7_20,2019
USA 213,USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"20,188","20,224",0.000677,55.0,718.94,"1,630",,,5/28/2010,12.0,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-022A,36585,First in the IIF series.,SC - ASCR,2010
